05558	0454	1	6
05561	0080	0	1
05580	0455a	2	24
05580b	0455b	2	1
05612	0081	0	1
05639	0456	1	4
05641	0457	1	3
05643	0458	1	42
05644	0459	1	58
05670	0082	0	1
05676	0083	0	1
05686	0461	1	17
05717	0084	0	1
05795	0462	1	2
05834	0463	1	2
05839	0464	1	2
05841	0465	1	3
05845	0466	1	27
05850	0467	1	3
05952	0468	1	2
05964	0469a	2	41
05964b	0469b	2	3
05978	0470	1	3
05983	0471	1	17
05986	0085	0	1
06003	0472	1	3
06015	0473	1	2
06023	0474	1	2
06031	0086	0	1
06053	0087	0	1
06055	0475	1	3
06058	0088	0	1
06074	0476	1	57
06088	0089	0	1
06091	0478	1	9
06098	0090	0	1
06123	0091	0	1
06151	0479a	2	8
06151b	0479b	2	3
06189	0480	1	4
06202	0092	0	1
06253	0481	1	2
06272	0482a	2	55
06272b	0482b	2	8
06285	0484	1	9
06290	0485	1	5
06292	0093	0	1
06313	0094	0	1
06422	0095	0	1
06432	0486	1	4
06445	0096	0	1
06476	0487a	2	19
06476b	0487b	2	1
06480	0097	0	1
06517	0098	0	1
06553	0099	0	1
06564	0488	1	2
06792	0101	0	1
06835	0100	0	1
06872	0489	1	61
06885	0491a	2	3
06885b	0491b	2	3
06900	0104	0	1
06921	0492	1	8
06949	0102	0	1
06978	0103	0	1
07017	0493	1	4
07032	0494	1	120
07035	0497	1	2
07043	0498	1	15
07076	0499	1	2
07080	0500	1	3
07086	0501	1	3
07122	0502	1	3
07135	0107	0	1
07139	0106	0	1
07165	0503	1	2
07180	0105	0	1
07212	0504	1	2
07230	0505	1	16
07241	0506a	2	5
07241b	0506b	2	1
07304	0507	1	20
07307	0508	1	30
07345	0509	1	12
07415	0109	0	1
07445	0110	0	1
07457	0723a	2	3
07457b	0723b	2	2
07461	0510	1	40
07469	0511	1	12
07479	0512	1	42
07481	0111	0	1
07483	0724	1	3
07501	0513	1	18
07503	0514	1	3
07522	0515	1	2
07530	0516	1	12
07535	0517	1	24
07559	0112	0	1
07580	0113	0	1
07591	0518	1	2
07598	0519	1	5
07632	0725a	2	3
07632b	0725b	2	2
07674	0114	0	1
07685	0520	1	4
07707	0521	1	29
07709	0522	1	5
07717	0523	1	14
07739	0115	0	1
07759	0524	1	7
07771	0116	0	1
07779	0525a	2	3
07779b	0525b	2	2
07799	0526	1	3
07801	0527	1	102
07827	0530	1	5
07828	0117	0	1
07844	0531	1	17
07860	0118	0	1
07878	0726a	2	7
07878b	0726b	2	3
07941	0532	1	31
07954	0533	1	2
08086	0119	0	1
08219	0534	1	2
08244	0535	1	73
08248	0537	1	4
08256	0538	1	2
08269	0539	1	2
08279	0540	1	2
08291	0541	1	2
08293	0120	0	1
08296	0542	1	6
08329	0121	0	1
08354	0543	1	13
08376	0544	1	6
08412	0545a	2	6
08412b	0545b	2	2
08426	0546	1	49
08428	0122	0	1
08437	0547	1	5
08438	0727a	2	1
08438b	0727b	2	1
08493	0548	1	7
08497	0549	1	2
08685	0550	1	6
08709	0123	0	1
08718	0728a	2	4
08718b	0728b	2	1
08753	0125	0	1
08765	0126	0	1
08779	0551	1	4
08807	0552	1	3
08856	0729a	2	6
08856b	0729b	2	1
08889	0127	0	1
08924	0730a	2	45
08924b	0730b	2	1
08938	0553	1	3
08963	0731a	2	4
08963b	0731b	2	1
08993	0554	1	4
09028	0128	0	1
09030	0555	1	4
09061	0556	1	7
09064	0557	1	3
09085	0558	1	6
09125	0559	1	5
09128	0129	0	1
09132	0560	1	2
09144	0561	1	6
09155	0130	0	1
09177	0732a	2	15
09177b	0732b	2	12
09214	0562	1	15
09250	0733a	2	7
09250b	0733b	2	1
09255	0563	1	36
09264	0564	1	25
09265	0565	1	3
09290	0566	1	2
09308	0567	1	3
09315	0568	1	28
09328	0569	1	11
09335	0570	1	6
09348	0571	1	3
09370	0131	0	1
09394	0734	1	6
09429	0572	1	56
09436	0132	0	1
09442	0574	1	2
09445x	0575	1	2
09462	0576	1	36
09463	0133	0	1
09470	0577	1	2
09541	0736a	2	1
09541b	0736b	2	1
09565	0578	1	3
09568	0735a	2	1
09568b	0735b	2	1
09599	0579a	2	3
09599b	0579b	2	2
09602	0580	1	21
09605	0581	1	2
09610	0582	1	20
09629	0737a	2	15
09629b	0737b	2	1
09632	0583	1	2
09638	0584	1	26
09715	0134	0	1
09716	0738a	2	15
09716b	0738b	2	9
09765	0585	1	2
09788	0587a	2	79
09788b	0587b	2	7
09789	0589	1	10
09804	0590	1	2
09846	0138	0	1
09869	0135	0	1
09919	0139	0	1
09954	0140	0	1
09966	0141	0	1
09972	0591	1	3
10040	0136	0	1
10137	0586	1	2
10187	0137	0	1
10264	0142	0	1
10270	0592	1	54
10272	0594	1	2
10303	0143	0	1
10347	0595a	2	1
10347b	0595b	2	1
10349	0144	0	1
10480	0145	0	1
10549	0739a	2	1
10549b	0739b	2	1
10551	0146	0	1
10605	0596	1	3
10614	0597	1	56
10637	0147	0	1
10683	0740a	2	2
10683b	0740b	2	1
10714	0599	1	3
10826	0148	0	1
10831	0600	1	12
10848	0601a	2	11
10848b	0601b	2	4
10856	0602	1	14
10859	0603	1	15
10875	0755a	4	28
10875b	0755b	4	5
10875c	0755c	4	3
10875d	0755d	4	2
10887	0604	1	7
10890	0605	1	30
10914	0149	0	1
10928	0606	1	3
10930	0612	1	4
10957	0607	1	2
10967	0608	1	3
